id,gender,birthday,grade,region,last_visited
336,Ж,14.09.2010,7.0,Нижегородская область,24.08.2023 06:57:45
337,М,06.08.2009,,Краснодарский край,25.08.2023 02:01:32
338,М,14.02.2007,,Город Санкт-Петербург,09.09.2023 02:59:01
339,Ж,14.11.2007,,Город Москва,24.08.2023 16:51:06
340,М,21.02.2008,,Город Санкт-Петербург,11.09.2023 12:05:56
341,М,04.07.2009,8.0,Город Москва,23.08.2023 15:27:04
342,М,17.01.2010,7.0,Нижегородская область,08.09.2023 04:02:57
343,Ж,08.10.2007,9.0,Город Санкт-Петербург,20.08.2023 17:59:39
344,М,05.06.2010,,Новосибирская область,04.09.2023 21:29:24
345,Ж,24.08.2009,8.0,Новосибирская область,05.09.2023 20:47:38
346,М,13.01.2009,8.0,Город Москва,03.09.2023 06:10:37
347,М,29.09.2008,8.0,Город Москва,23.08.2023 21:15:20
348,М,15.08.2008,9.0,Краснодарский край,08.09.2023 03:19:36
349,Ж,27.03.2010,,Нижегородская область,11.09.2023 00:52:13
350,Ж,24.02.2009,8.0,Город Москва,25.08.2023 04:51:06
351,Ж,11.09.2009,8.0,Город Москва,05.09.2023 22:50:31
352,М,01.12.2006,,Город Москва,21.08.2023 09:00:05
353,М,08.12.2008,8.0,Город Санкт-Петербург,02.09.2023 22:08:44
354,Ж,18.02.2007,10.0,Город Москва,03.09.2023 08:22:13
355,М,12.08.2009,8.0,Город Москва,11.09.2023 19:13:19
356,Ж,03.05.2007,10.0,Город Москва,31.08.2023 13:21:43
357,Ж,21.12.2007,,Город Москва,23.08.2023 01:25:25
358,М,06.12.2009,7.0,Город Москва,02.09.2023 18:22:37
359,М,06.06.2007,10.0,Краснодарский край,05.09.2023 15:08:56
360,М,27.08.2007,10.0,Город Москва,05.09.2023 15:10:28
361,М,09.10.2009,7.0,Краснодарский край,05.09.2023 23:20:09
362,М,16.12.2006,10.0,Город Москва,03.09.2023 16:52:17
363,Ж,08.11.2008,,Город Санкт-Петербург,06.09.2023 12:50:29
364,М,05.08.2010,7.0,Нижегородская область,16.08.2023 11:30:55
365,Ж,15.04.2009,8.0,Город Санкт-Петербург,14.08.2023 16:42:16
366,М,22.09.2007,9.0,Город Санкт-Петербург,22.08.2023 15:17:53
367,М,01.07.2010,7.0,Город Санкт-Петербург,05.09.2023 17:16:33
368,М,09.08.2008,,Нижегородская область,17.08.2023 09:45:11
369,М,17.09.2007,9.0,Город Санкт-Петербург,06.09.2023 14:00:57
370,Ж,27.09.2009,7.0,Новосибирская область,16.08.2023 04:38:46
371,М,30.05.2008,9.0,Нижегородская область,05.09.2023 22:05:31
372,Ж,27.05.2010,7.0,Краснодарский край,29.08.2023 03:43:03
373,Ж,29.06.2009,8.0,Краснодарский край,10.09.2023 11:35:06
374,Ж,13.09.2009,7.0,Новосибирская область,06.09.2023 12:38:23
375,Ж,29.05.2010,7.0,Город Москва,24.08.2023 11:53:51
376,Ж,14.04.2010,7.0,Нижегородская область,11.09.2023 18:44:19
377,М,01.08.2010,7.0,Город Москва,21.08.2023 17:23:08
378,М,25.05.2009,8.0,Город Москва,17.08.2023 12:29:55
379,Ж,11.02.2010,7.0,Нижегородская область,05.09.2023 07:50:40
380,Ж,16.07.2008,9.0,Город Москва,21.08.2023 11:19:49
381,М,02.12.2007,9.0,Город Санкт-Петербург,28.08.2023 08:12:24
382,М,01.07.2009,,Город Москва,22.08.2023 06:31:26
383,М,01.08.2007,10.0,Город Москва,19.08.2023 15:42:32
384,Ж,18.11.2006,10.0,Город Санкт-Петербург,16.08.2023 17:11:48
385,Ж,11.10.2008,8.0,Город Санкт-Петербург,09.09.2023 10:00:21
386,Ж,07.06.2009,8.0,Краснодарский край,03.09.2023 09:38:43
387,М,24.01.2010,7.0,Город Санкт-Петербург,02.09.2023 16:11:00
388,М,16.05.2007,10.0,Город Москва,08.09.2023 16:35:48
389,Ж,19.08.2009,,Город Москва,09.09.2023 13:25:48
390,Ж,30.12.2006,10.0,Краснодарский край,07.09.2023 02:49:05
391,М,27.12.2006,10.0,Новосибирская область,26.08.2023 03:57:52
392,М,25.09.2008,8.0,Новосибирская область,04.09.2023 04:00:49
393,М,09.12.2007,9.0,Краснодарский край,26.08.2023 03:52:37
394,Ж,06.09.2009,8.0,Город Санкт-Петербург,04.09.2023 21:37:21
395,М,17.04.2007,10.0,Краснодарский край,04.09.2023 20:47:25
396,М,27.10.2008,8.0,Город Москва,16.08.2023 08:56:14
397,Ж,23.08.2010,7.0,Город Москва,19.08.2023 09:38:35
398,М,24.05.2010,,Город Санкт-Петербург,09.09.2023 12:40:01
399,Ж,14.11.2007,9.0,Город Москва,04.09.2023 01:41:07
400,Ж,24.05.2010,7.0,Город Санкт-Петербург,18.08.2023 05:12:00
401,М,19.11.2006,,Город Москва,31.08.2023 08:26:31
402,Ж,01.11.2008,8.0,Город Санкт-Петербург,01.09.2023 21:31:02
403,Ж,08.10.2008,8.0,Нижегородская область,12.09.2023 17:53:10
404,М,02.11.2008,8.0,Город Санкт-Петербург,12.09.2023 04:39:52
405,Ж,02.10.2007,9.0,Новосибирская область,03.09.2023 07:35:49
406,М,20.02.2008,9.0,Город Санкт-Петербург,11.09.2023 01:24:56
407,М,19.02.2009,8.0,Город Москва,30.08.2023 03:16:27
408,Ж,06.04.2009,8.0,Город Санкт-Петербург,19.08.2023 17:20:44
409,М,24.09.2009,7.0,Город Москва,16.08.2023 01:18:36
410,М,01.08.2008,9.0,Город Москва,14.08.2023 07:45:38
411,Ж,07.03.2007,10.0,Город Санкт-Петербург,28.08.2023 07:24:46
412,Ж,21.12.2008,,Город Санкт-Петербург,09.09.2023 18:56:59
413,М,23.04.2007,,Город Санкт-Петербург,20.08.2023 04:00:25
414,Ж,25.04.2010,7.0,Город Москва,19.08.2023 19:28:43
415,М,16.03.2009,8.0,Город Санкт-Петербург,30.08.2023 04:02:36
416,Ж,05.12.2006,10.0,Краснодарский край,15.08.2023 16:30:24
417,М,02.12.2008,8.0,Город Москва,08.09.2023 03:05:33
418,Ж,15.07.2008,,Город Москва,12.09.2023 00:51:25
419,М,24.07.2008,9.0,Город Санкт-Петербург,15.08.2023 05:56:35
420,М,28.02.2009,8.0,Нижегородская область,31.08.2023 23:43:11
421,Ж,28.06.2007,10.0,Город Санкт-Петербург,14.08.2023 22:09:56
422,Ж,14.10.2008,,Новосибирская область,18.08.2023 20:55:34
423,Ж,09.01.2007,10.0,Город Санкт-Петербург,28.08.2023 01:49:12
424,М,05.10.2008,8.0,Город Санкт-Петербург,09.09.2023 00:34:44
425,Ж,22.05.2010,7.0,Город Москва,17.08.2023 16:11:33
426,Ж,13.10.2007,9.0,Краснодарский край,12.09.2023 15:54:34
427,М,10.12.2008,8.0,Город Москва,20.08.2023 03:45:06
428,М,07.11.2007,9.0,Город Санкт-Петербург,02.09.2023 15:54:12
429,Ж,07.02.2009,8.0,Нижегородская область,29.08.2023 10:38:41
430,М,04.06.2010,7.0,Город Москва,14.08.2023 20:16:19
431,Ж,12.09.2008,9.0,Город Москва,17.08.2023 14:17:23
432,М,01.01.2008,9.0,Краснодарский край,28.08.2023 00:50:46
433,М,20.07.2010,7.0,Город Москва,01.09.2023 05:43:38
434,М,15.06.2009,8.0,Город Москва,20.08.2023 12:00:19
435,М,24.06.2009,,Город Москва,09.09.2023 22:08:06
436,М,09.11.2009,7.0,Город Москва,30.08.2023 01:16:22
437,М,08.01.2009,8.0,Город Москва,23.08.2023 08:00:08
438,М,02.05.2007,10.0,Город Москва,27.08.2023 09:02:05
439,Ж,08.06.2007,10.0,Нижегородская область,15.08.2023 02:59:10
440,М,02.05.2007,10.0,Нижегородская область,16.08.2023 15:27:31
441,Ж,21.01.2008,9.0,Город Москва,07.09.2023 11:04:06
442,М,04.04.2010,7.0,Город Москва,31.08.2023 03:48:45
443,М,18.05.2009,8.0,Новосибирская область,11.09.2023 10:51:51
444,Ж,25.11.2008,,Город Санкт-Петербург,21.08.2023 08:38:46
445,М,25.01.2008,9.0,Город Санкт-Петербург,11.09.2023 06:54:48
446,М,23.01.2007,10.0,Город Москва,08.09.2023 03:02:08
447,Ж,10.05.2010,7.0,Новосибирская область,30.08.2023 05:18:40
448,Ж,12.01.2008,,Новосибирская область,11.09.2023 10:10:08
449,М,24.12.2006,10.0,Город Москва,17.08.2023 06:22:32
450,М,02.07.2007,10.0,Город Санкт-Петербург,23.08.2023 04:06:29
451,М,29.06.2009,8.0,Новосибирская область,11.09.2023 14:10:52
452,М,17.03.2009,8.0,Город Москва,22.08.2023 22:08:03
453,М,21.03.2008,9.0,Город Санкт-Петербург,08.09.2023 15:14:42
454,Ж,11.10.2007,9.0,Город Москва,06.09.2023 09:29:49
455,М,16.07.2009,8.0,Город Москва,28.08.2023 09:34:13
456,Ж,10.08.2010,7.0,Краснодарский край,23.08.2023 02:35:58
457,М,09.09.2010,,Город Санкт-Петербург,26.08.2023 00:30:42
458,Ж,02.07.2008,9.0,Краснодарский край,26.08.2023 15:37:28
459,М,16.10.2008,8.0,Город Москва,16.08.2023 01:08:23
460,Ж,13.07.2010,7.0,Город Санкт-Петербург,17.08.2023 15:47:07
461,Ж,20.05.2009,8.0,Город Санкт-Петербург,24.08.2023 03:33:13
462,Ж,13.03.2010,,Город Москва,28.08.2023 03:21:53
463,М,27.05.2007,10.0,Город Москва,10.09.2023 10:26:50
464,Ж,05.12.2008,8.0,Город Москва,24.08.2023 03:57:42
465,М,17.05.2007,10.0,Город Санкт-Петербург,28.08.2023 19:16:34
466,Ж,15.09.2008,8.0,Нижегородская область,10.09.2023 03:03:15
467,Ж,09.12.2009,7.0,Новосибирская область,21.08.2023 08:43:13
468,Ж,21.08.2009,8.0,Город Санкт-Петербург,24.08.2023 12:55:57
469,Ж,13.12.2007,9.0,Город Москва,16.08.2023 11:28:21
470,М,07.04.2007,10.0,Новосибирская область,25.08.2023 20:18:05
471,М,10.07.2010,7.0,Город Москва,04.09.2023 00:39:07
472,М,17.04.2010,7.0,Город Санкт-Петербург,15.08.2023 12:14:52
473,Ж,25.09.2008,8.0,Город Санкт-Петербург,15.08.2023 20:15:58
474,М,14.09.2010,7.0,Город Москва,18.08.2023 11:58:45
475,Ж,17.08.2010,7.0,Новосибирская область,12.09.2023 17:25:03
476,М,01.03.2007,10.0,Город Москва,24.08.2023 01:33:53
477,М,20.05.2007,10.0,Город Санкт-Петербург,08.09.2023 05:53:20
478,Ж,27.08.2007,10.0,Город Москва,27.08.2023 19:06:59
479,Ж,07.07.2007,10.0,Город Москва,17.08.2023 23:18:12
480,Ж,29.06.2009,,Город Санкт-Петербург,24.08.2023 10:00:06
481,М,19.06.2009,8.0,Город Санкт-Петербург,13.08.2023 22:38:30
482,Ж,31.07.2009,8.0,Город Москва,26.08.2023 12:46:47
483,Ж,24.12.2009,7.0,Город Москва,18.08.2023 15:36:37
484,Ж,01.07.2008,9.0,Город Москва,20.08.2023 22:23:08
485,Ж,09.09.2008,9.0,Город Санкт-Петербург,05.09.2023 06:33:31
486,М,02.04.2007,10.0,Город Москва,31.08.2023 19:00:13
487,М,19.08.2007,10.0,Нижегородская область,23.08.2023 05:39:54
488,М,30.05.2008,9.0,Город Санкт-Петербург,14.08.2023 22:40:14
489,М,03.01.2009,8.0,Краснодарский край,05.09.2023 01:47:14
490,М,11.03.2009,8.0,Город Санкт-Петербург,26.08.2023 17:03:17
491,М,04.08.2007,10.0,Город Санкт-Петербург,20.08.2023 22:29:35
492,Ж,04.10.2008,8.0,Город Москва,29.08.2023 19:34:12
493,Ж,21.06.2009,,Город Москва,05.09.2023 20:26:48
494,Ж,06.12.2006,10.0,Город Москва,31.08.2023 09:17:20
495,М,13.01.2010,7.0,Город Москва,30.08.2023 18:37:07
496,Ж,25.11.2007,9.0,Город Санкт-Петербург,22.08.2023 03:35:09
497,Ж,27.05.2010,,Город Москва,21.08.2023 21:39:53
498,М,03.02.2010,7.0,Город Санкт-Петербург,24.08.2023 07:28:06
499,М,31.10.2009,7.0,Город Москва,07.09.2023 00:12:41
500,Ж,02.08.2010,7.0,Краснодарский край,20.08.2023 20:12:56
501,М,27.09.2009,7.0,Город Санкт-Петербург,10.09.2023 07:49:37
502,М,18.04.2007,10.0,Город Москва,26.08.2023 06:52:23
503,Ж,25.02.2007,10.0,Город Санкт-Петербург,05.09.2023 14:34:05
504,М,29.05.2010,7.0,Город Санкт-Петербург,14.08.2023 14:08:50
505,М,05.12.2008,8.0,Город Москва,19.08.2023 11:09:24
506,М,22.06.2008,,Город Москва,24.08.2023 21:40:36
507,М,11.12.2006,10.0,Город Москва,16.08.2023 17:28:46
508,М,26.03.2008,,Город Москва,19.08.2023 04:02:42
509,Ж,05.03.2010,7.0,Город Москва,24.08.2023 17:33:35
510,Ж,01.11.2008,8.0,Город Москва,23.08.2023 13:31:06
511,Ж,08.01.2008,9.0,Новосибирская область,31.08.2023 10:25:55
512,М,28.03.2007,10.0,Нижегородская область,31.08.2023 15:32:28
513,Ж,22.09.2009,7.0,Город Москва,06.09.2023 18:26:05
514,Ж,29.09.2008,8.0,Город Москва,18.08.2023 12:23:41
515,М,11.04.2009,8.0,Краснодарский край,05.09.2023 03:39:21
516,Ж,10.08.2008,,Краснодарский край,21.08.2023 00:33:03
517,М,03.05.2010,7.0,Нижегородская область,22.08.2023 23:06:44
518,М,16.10.2007,9.0,Город Москва,26.08.2023 09:47:25
519,Ж,08.06.2007,10.0,Город Москва,16.08.2023 11:06:26
520,Ж,01.08.2009,,Город Санкт-Петербург,09.09.2023 09:25:37
521,М,04.07.2007,10.0,Город Санкт-Петербург,30.08.2023 13:37:53
522,Ж,03.04.2010,7.0,Нижегородская область,01.09.2023 03:32:06
523,М,22.06.2008,9.0,Новосибирская область,15.08.2023 05:13:27
524,М,15.09.2010,7.0,Краснодарский край,23.08.2023 04:09:31
525,Ж,10.12.2006,10.0,Город Санкт-Петербург,12.09.2023 04:12:46
526,М,28.04.2007,10.0,Город Санкт-Петербург,31.08.2023 15:09:39
527,Ж,26.09.2009,,Нижегородская область,07.09.2023 21:43:50
528,Ж,13.09.2007,9.0,Краснодарский край,21.08.2023 03:03:02
529,М,18.01.2007,,Город Москва,29.08.2023 16:08:09
530,Ж,02.10.2008,8.0,Нижегородская область,21.08.2023 02:29:12
531,Ж,29.06.2007,10.0,Город Москва,01.09.2023 06:21:45
532,Ж,02.05.2008,9.0,Новосибирская область,16.08.2023 11:41:55
533,Ж,01.06.2010,7.0,Город Москва,09.09.2023 14:51:03
534,М,27.10.2007,9.0,Город Санкт-Петербург,17.08.2023 09:07:09
535,М,31.08.2010,7.0,Город Москва,16.08.2023 18:39:22
536,Ж,01.04.2009,8.0,Город Санкт-Петербург,22.08.2023 21:35:58
537,М,07.04.2007,10.0,Краснодарский край,20.08.2023 09:12:32
538,Ж,15.07.2009,8.0,Город Москва,05.09.2023 21:57:20
539,Ж,12.02.2009,8.0,Город Москва,14.08.2023 23:39:56
540,Ж,24.08.2007,10.0,Краснодарский край,14.08.2023 10:41:32
541,Ж,24.11.2007,9.0,Город Москва,01.09.2023 00:10:45
542,Ж,16.08.2008,9.0,Город Москва,24.08.2023 10:17:31
543,Ж,29.09.2008,8.0,Новосибирская область,27.08.2023 05:19:44
544,М,14.11.2009,7.0,Новосибирская область,26.08.2023 05:42:20
545,Ж,14.07.2009,8.0,Новосибирская область,07.09.2023 16:19:32
546,Ж,12.02.2010,7.0,Город Москва,10.09.2023 17:43:00
547,М,07.11.2008,8.0,Город Санкт-Петербург,14.08.2023 11:07:44
548,М,24.08.2008,,Город Москва,26.08.2023 20:31:25
549,Ж,07.10.2008,8.0,Город Санкт-Петербург,10.09.2023 06:58:26
550,Ж,25.04.2010,7.0,Город Москва,27.08.2023 19:18:19
551,М,12.01.2009,8.0,Город Москва,11.09.2023 00:37:11
552,Ж,21.07.2010,7.0,Город Санкт-Петербург,31.08.2023 00:02:32
553,М,03.11.2006,10.0,Город Москва,12.09.2023 20:14:58
554,М,22.07.2010,7.0,Новосибирская область,19.08.2023 14:29:54
555,М,04.11.2008,8.0,Город Санкт-Петербург,31.08.2023 08:43:49
556,М,09.01.2009,8.0,Новосибирская область,30.08.2023 17:49:21
557,М,14.11.2008,8.0,Город Москва,19.08.2023 05:33:27
558,Ж,12.12.2009,7.0,Краснодарский край,01.09.2023 18:53:14
559,Ж,28.02.2010,7.0,Город Москва,21.08.2023 02:27:16
560,Ж,22.03.2010,7.0,Краснодарский край,01.09.2023 04:42:51
561,Ж,09.06.2008,,Город Санкт-Петербург,27.08.2023 19:46:03
562,Ж,11.10.2007,9.0,Город Москва,09.09.2023 21:22:47
563,Ж,07.03.2007,10.0,Город Москва,19.08.2023 09:27:14
564,М,25.01.2007,,Нижегородская область,19.08.2023 17:15:09
565,Ж,14.10.2008,8.0,Новосибирская область,19.08.2023 14:46:41
566,М,15.10.2006,10.0,Город Санкт-Петербург,14.08.2023 09:41:24
567,М,26.01.2010,7.0,Краснодарский край,02.09.2023 16:10:06
568,Ж,09.06.2009,8.0,Город Москва,14.08.2023 14:39:02
569,М,29.12.2009,7.0,Краснодарский край,03.09.2023 01:39:23
570,Ж,07.03.2009,8.0,Новосибирская область,31.08.2023 05:01:42
571,М,05.11.2006,10.0,Новосибирская область,09.09.2023 21:23:00
572,Ж,13.07.2010,7.0,Город Москва,03.09.2023 05:04:19
573,М,01.04.2007,10.0,Нижегородская область,10.09.2023 11:03:13
574,М,12.02.2009,8.0,Город Москва,24.08.2023 15:04:58
575,Ж,04.01.2008,,Город Санкт-Петербург,03.09.2023 09:08:54
576,Ж,22.12.2009,7.0,Нижегородская область,15.08.2023 16:41:24
577,Ж,19.06.2009,8.0,Город Санкт-Петербург,29.08.2023 05:00:49
578,М,27.03.2010,7.0,Нижегородская область,28.08.2023 04:53:51
579,М,03.03.2010,7.0,Город Санкт-Петербург,25.08.2023 22:09:15
580,М,01.12.2009,7.0,Нижегородская область,24.08.2023 00:28:37
581,Ж,28.07.2010,7.0,Город Санкт-Петербург,01.09.2023 07:06:02
582,Ж,05.05.2007,,Новосибирская область,26.08.2023 03:12:27
583,М,07.06.2008,9.0,Город Москва,24.08.2023 01:36:43
584,М,09.06.2008,9.0,Нижегородская область,08.09.2023 12:47:22
585,М,12.09.2009,8.0,Город Москва,12.09.2023 07:36:26
586,Ж,06.05.2010,7.0,Город Москва,27.08.2023 20:21:23
587,М,13.04.2007,10.0,Краснодарский край,06.09.2023 04:33:45
588,Ж,14.01.2007,10.0,Город Москва,02.09.2023 12:09:30
589,Ж,29.06.2010,7.0,Город Москва,08.09.2023 20:14:33
590,М,17.07.2007,10.0,Новосибирская область,29.08.2023 17:57:09
591,Ж,12.08.2008,,Новосибирская область,21.08.2023 12:11:17
592,М,06.06.2007,10.0,Новосибирская область,31.08.2023 07:19:58
593,М,07.09.2009,8.0,Город Санкт-Петербург,30.08.2023 17:33:06
594,Ж,25.06.2010,7.0,Город Москва,10.09.2023 04:31:48
595,М,18.02.2010,7.0,Город Москва,05.09.2023 05:51:52
596,М,07.05.2009,8.0,Город Москва,18.08.2023 18:00:15
597,Ж,07.08.2009,8.0,Город Москва,20.08.2023 17:56:24
598,М,03.01.2009,,Город Москва,13.08.2023 22:56:15
599,М,24.11.2006,10.0,Краснодарский край,30.08.2023 13:51:14
600,М,05.02.2009,8.0,Город Москва,14.08.2023 18:42:20
601,М,19.09.2007,9.0,Город Москва,21.08.2023 01:10:29
602,Ж,27.12.2008,8.0,Нижегородская область,28.08.2023 05:16:04
603,Ж,24.11.2007,9.0,Новосибирская область,07.09.2023 17:33:33
604,М,21.06.2010,7.0,Город Москва,19.08.2023 11:14:27
605,М,15.08.2007,10.0,Город Санкт-Петербург,11.09.2023 22:30:19
606,М,06.05.2008,9.0,Город Москва,11.09.2023 09:23:17
607,Ж,03.01.2007,,Краснодарский край,16.08.2023 20:00:01
608,Ж,03.02.2010,7.0,Город Москва,23.08.2023 18:05:12
609,М,01.03.2007,10.0,Город Москва,18.08.2023 02:18:24
610,М,28.04.2008,,Краснодарский край,19.08.2023 15:50:23
611,М,15.01.2007,10.0,Нижегородская область,08.09.2023 03:41:28
612,Ж,07.04.2008,9.0,Краснодарский край,03.09.2023 07:02:56
613,Ж,16.10.2009,,Город Москва,27.08.2023 19:02:42
614,Ж,24.06.2009,8.0,Город Санкт-Петербург,18.08.2023 01:34:06
615,М,03.11.2008,,Город Москва,20.08.2023 10:14:19
616,Ж,28.06.2010,,Город Москва,12.09.2023 12:45:14
617,Ж,02.01.2007,10.0,Краснодарский край,19.08.2023 17:31:11
618,М,08.06.2010,,Город Москва,12.09.2023 06:41:18
619,М,19.07.2010,7.0,Краснодарский край,17.08.2023 08:35:21
620,Ж,20.12.2008,,Город Санкт-Петербург,15.08.2023 20:20:57
621,Ж,03.01.2010,,Город Москва,14.08.2023 21:41:16
622,М,06.07.2009,8.0,Город Москва,02.09.2023 14:48:00
623,Ж,09.02.2008,,Город Москва,30.08.2023 21:46:46
624,М,15.02.2007,10.0,Город Москва,21.08.2023 00:10:29
625,М,02.10.2008,8.0,Город Санкт-Петербург,10.09.2023 12:18:09
626,Ж,19.06.2007,10.0,Краснодарский край,23.08.2023 04:15:44
627,Ж,08.03.2010,7.0,Нижегородская область,14.08.2023 11:24:16
628,Ж,23.10.2007,9.0,Город Москва,29.08.2023 02:01:30
629,М,22.12.2009,7.0,Город Москва,29.08.2023 20:29:14
630,М,24.12.2009,7.0,Город Москва,25.08.2023 13:24:35
631,М,30.04.2007,10.0,Город Санкт-Петербург,04.09.2023 06:17:35
632,Ж,07.11.2009,7.0,Город Москва,19.08.2023 05:25:46
633,М,13.03.2009,8.0,Город Москва,12.09.2023 03:12:24
634,М,04.12.2006,10.0,Город Москва,02.09.2023 19:34:09
635,М,10.04.2010,7.0,Город Санкт-Петербург,12.09.2023 06:03:55
636,Ж,27.07.2007,10.0,Новосибирская область,03.09.2023 03:58:56
637,М,24.07.2010,7.0,Краснодарский край,04.09.2023 09:42:04
638,Ж,18.03.2008,9.0,Город Москва,01.09.2023 23:04:48
639,Ж,05.03.2008,9.0,Город Москва,16.08.2023 15:09:40
640,Ж,24.06.2008,,Новосибирская область,05.09.2023 22:20:03
641,Ж,28.05.2007,10.0,Новосибирская область,31.08.2023 21:40:22
642,М,18.06.2007,,Краснодарский край,05.09.2023 20:41:13
643,М,08.04.2007,,Город Москва,15.08.2023 09:25:25
644,Ж,23.12.2007,,Город Москва,18.08.2023 07:09:20
645,М,22.02.2010,7.0,Краснодарский край,05.09.2023 16:59:54
646,Ж,02.06.2010,7.0,Нижегородская область,14.08.2023 16:58:46
647,М,17.09.2006,10.0,Город Москва,02.09.2023 06:24:18
648,Ж,04.04.2010,,Город Москва,06.09.2023 13:08:42
649,М,01.04.2008,9.0,Новосибирская область,24.08.2023 09:49:34
650,М,19.05.2008,9.0,Город Москва,29.08.2023 17:43:56
651,Ж,19.09.2006,10.0,Город Москва,02.09.2023 05:47:57
652,Ж,25.06.2008,9.0,Новосибирская область,20.08.2023 01:55:21
653,Ж,02.05.2010,7.0,Краснодарский край,18.08.2023 20:15:29
654,М,23.10.2008,8.0,Город Москва,21.08.2023 05:58:24
655,М,28.02.2009,8.0,Город Москва,11.09.2023 15:31:39
656,М,27.06.2008,9.0,Город Санкт-Петербург,22.08.2023 20:28:48
657,М,03.05.2009,,Краснодарский край,15.08.2023 21:21:58
658,Ж,09.02.2010,7.0,Краснодарский край,29.08.2023 09:42:36
659,М,05.09.2010,7.0,Город Москва,17.08.2023 19:24:15
660,М,19.05.2009,,Краснодарский край,01.09.2023 07:25:01
661,Ж,11.01.2010,7.0,Краснодарский край,01.09.2023 08:32:32
662,Ж,29.10.2006,10.0,Краснодарский край,19.08.2023 07:00:44
663,Ж,05.09.2008,9.0,Город Москва,18.08.2023 01:29:57
664,Ж,24.05.2010,,Новосибирская область,07.09.2023 07:57:01
665,М,16.03.2007,10.0,Город Москва,11.09.2023 07:02:04
666,Ж,24.10.2007,9.0,Краснодарский край,20.08.2023 10:18:18
667,М,12.08.2010,7.0,Город Москва,25.08.2023 10:22:22
